ref,build,part,qty,unit,spec,search_keyword,unit_price_usd_low,unit_price_usd_high,where_to_buy_global,where_to_buy_korea,notes,url_official,url_global,url_korea,links_checked
D1,reference,ULN2003 driver board,1,pc,"From 28BYJ-48 stepper kit; IN1-IN4, OUT1-OUT4, +/- power pins",ULN2003 driver board 28BYJ-48,1,3,AliExpress; local electronics shops,"디바이스마트, 엘레파츠, 아이씨뱅큐",Sits in the aux pod. Price for board alone; kit with stepper costs a little more.,,https://www.aliexpress.com/w/wholesale-uln2003-driver-board-28byj-48.html,https://www.devicemart.co.kr/goods/view?no=1287090,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
B1-B3,reference,12 x 12 mm tactile switch (bare) or 3-pin button module,3,pc,"12 x 12 x 7.3 mm tactile switch, momentary",12x12mm tactile switch,0.3,1.5,AliExpress; DigiKey; Mouser,"디바이스마트, 엘레파츠, 아이씨뱅큐",Bare switch + 2 Dupont wires matches active-low wiring directly.,,https://www.sparkfun.com/momentary-pushbutton-switch-12mm-square.html,https://www.devicemart.co.kr/goods/view?no=15959210,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
L1,reference,3 mm LED + 330 ohm resistor (or LED module),1,pc,"3 mm LED, 330 ohm series resistor",3mm LED module,0.2,1,AliExpress; DigiKey; local electronics shops,"디바이스마트, 엘레파츠, 아이씨뱅큐",Status light for sighted helpers.,,,https://www.devicemart.co.kr/goods/view?no=2848 ; https://www.devicemart.co.kr/goods/view?no=886,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
A1,reference,USB audio adapter with headphone + mic jacks,1,pc,"USB 2.0, class-compliant, real microphone input (not line-in); 4-pole TRRS combo jack or separate jacks + TRRS splitter to match the headset",USB audio adapter headphone mic,5,15,AliExpress; electronics retailers,"디바이스마트, 엘레파츠, 대형 온라인몰",Pi 5 has no 3.5 mm jack. Sits in the aux pod on the W4 extension.,,https://www.adafruit.com/product/1475,https://www.devicemart.co.kr/goods/view?no=14118701,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
A2,reference,Open-ear / bone-conduction wired headset with mic,1,pc,"Wired 3.5 mm, does not block the ear canal",wired bone conduction headphones mic,15,60,Online retailers; electronics stores,"대형 온라인몰, 전자제품 매장",Must leave ears open to traffic sounds.,,https://www.aliexpress.com/w/wholesale-wired-bone-conduction-headphones-microphone.html,https://www.coupang.com/np/search?q=%EA%B3%A8%EC%A0%84%EB%8F%84+%EC%9D%B4%EC%96%B4%ED%8F%B0+%EC%9C%A0%EC%84%A0+%EB%A7%88%EC%9D%B4%ED%81%AC+3.5mm,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
P1,reference,USB-C PD power bank 10 000-20 000 mAh,1,pc,">= 5 V 3 A output, USB-C PD",USB-C PD power bank 20000mAh,20,45,Electronics retailers; online retailers,"대형 온라인몰, 전자제품 매장",Carried in pocket or waist bag. Airline rules apply to large batteries.,,https://www.aliexpress.com/w/wholesale-usb-c-pd-power-bank-20000mah.html,https://www.coupang.com/np/search?q=%EB%B3%B4%EC%A1%B0%EB%B0%B0%ED%84%B0%EB%A6%AC+PD+5V3A+20000mAh,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
P2,reference,USB-C cable 1.5 m + magnetic breakaway USB-C adapter (3 A),1,set,1.5 m USB-C cable; magnetic breakaway adapter rated >= 3 A,magnetic USB-C breakaway adapter 3A,8,20,AliExpress; online retailers,"대형 온라인몰, 알리익스프레스",Breakaway prevents neck snagging.,,https://www.adafruit.com/product/5521,https://www.devicemart.co.kr/goods/view?no=15888761,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
W1,reference,Dupont jumper wires F-F 20 cm (40-pack) + 6-pin 1.25 mm leads for TF-Luna,1,set,Dupont F-F 20 cm (40); a few M-F 20-30 cm; 6-pin 1.25 mm (GH) to Dupont female leads x2 (pin 5 is needed for I2C mode),Dupont jumper wire female female 20cm,4,10,AliExpress; DigiKey; local electronics shops,"디바이스마트, 엘레파츠, 아이씨뱅큐",Longer leads (30-40 cm) help reach the front pod and aux pod from the main case.,,https://www.adafruit.com/product/266,https://www.devicemart.co.kr/goods/view?no=1321192 ; https://www.devicemart.co.kr/goods/view?no=14601284,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
W2,reference,20 mm hook-and-loop straps (200 mm) + 3M Dual Lock / VHB pads,1,set,20 mm x 200 mm straps (x6-8); 3M Dual Lock reclosable fastener; VHB pads,3M Dual Lock reclosable fastener 25mm,10,25,AliExpress; hardware stores; online retailers,"대형 온라인몰, 철물점, 다이소(벨크로 끈)",Buy genuine 3M Dual Lock where possible.,https://www.3m.com/3M/en_US/p/d/b40072057/,,https://www.coupang.com/np/search?q=3M+%EB%93%80%EC%96%BC%EB%9D%BD,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
W3,reference,"Dupont female 1-to-N splitter cables for shared SDA, SCL, 5 V, 3.3 V and GND lines",1,pc,"Dupont female 1-to-2 / 1-to-4 splitters or 2x8 female header splitter. NOT a Qwiic/STEMMA QT hub (3.3 V only, JST-SH plugs)",Dupont splitter 1 to 4 female,1,5,AliExpress; local electronics shops,"디바이스마트, 엘레파츠, 아이씨뱅큐",3 I2C devices and several 5 V loads share header pins.,,https://www.aliexpress.com/w/wholesale-dupont-splitter-female.html,https://www.devicemart.co.kr/goods/search?search_text=%EC%A0%90%ED%8D%BC%20%EB%B6%84%EB%B0%B0,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
W4,reference,USB-A male to female extension cable 10-15 cm,1,pc,"USB 2.0, 10-15 cm, slim plugs",USB A male female extension 15cm,2,5,AliExpress; electronics retailers,"디바이스마트, 엘레파츠, 대형 온라인몰",Pi 5 USB 2.0 port -> USB audio adapter in the aux pod.,,https://www.aliexpress.com/w/wholesale-usb-a-male-female-extension-15cm.html,https://www.devicemart.co.kr/goods/view?no=12957574,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
F1,reference,M2.5 x 6 screws + 5 mm standoffs; M2 x 5 screws,1,set,"M2.5 x 6 (x4) + 5 mm standoffs (x4) for the Pi; M2 x 5 (x8) camera and TF-Luna; hardware/README.md also uses M2.5 x 8 pan head (x8, lids) and M2 x 8 (x4, pod cover)",M2.5 standoff screw kit,5,10,AliExpress; hardware suppliers,"디바이스마트, 엘레파츠, 철물점",A kit with assorted lengths is useful.,,https://www.adafruit.com/product/3299,https://www.devicemart.co.kr/goods/view?no=1360152,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
PR1,reference-added,Filament for printed parts (PETG/ASA ~200 g incl. supports + TPU 95A ~60 g),1,set,PETG or ASA 1.75 mm; TPU 95A 1.75 mm,PETG filament 1.75mm,6,12,Filament brands' stores; AliExpress; local 3D printing shops,"3D프린팅 소재 쇼핑몰, 대형 온라인몰",Not a spec BOM line (cost estimate). Based on masses in hardware/README.md. A full 1 kg spool is about USD 15-30.,,,https://www.coupang.com/np/search?q=PETG+%ED%95%84%EB%9D%BC%EB%A9%98%ED%8A%B8+1.75,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
G1,optional,u-blox NEO-M8N GPS module (UART),1,pc,"UART 9600 baud, with antenna",NEO-M8N GPS module,10,30,AliExpress; DigiKey; Mouser,"디바이스마트, 엘레파츠, 아이씨뱅큐",Phone-free location. Not included in total.,https://www.u-blox.com/en/product/neo-m8-series,https://www.aliexpress.com/w/wholesale-neo-m8n-gps-module.html,https://www.devicemart.co.kr/goods/view?no=15106909,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
R1,optional,TPU 95A filament for rain gutter,1,set,"TPU 95A 1.75 mm, ~95 g for 4 gutter segments + nozzle",TPU 95A filament,2,4,Filament brands' stores; AliExpress,"3D프린팅 소재 쇼핑몰, 대형 온라인몰",Not included in total. Gutter is heavier than its 60 g budget (see hardware/README.md).,,,https://www.coupang.com/np/search?q=TPU+95A+%ED%95%84%EB%9D%BC%EB%A9%98%ED%8A%B8+1.75,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
U1-B,budget-substitute,Raspberry Pi 4 Model B 4 GB (replaces U1),1,pc,"BCM2711, 4 GB",Raspberry Pi 4 Model B 4GB,55,75,Raspberry Pi Approved Resellers; DigiKey; Mouser,"디바이스마트, 엘레파츠, 아이씨뱅큐",Lower vision frame rate; T3 (>= 8 FPS) is not expected to pass.,https://www.raspberrypi.com/products/raspberry-pi-4-model-b/,,,2026-09-15 (see docs/en/10-buying-guide.md for verified vs search links)
U2-B,budget-substitute,Pi 4 heatsink + small fan (replaces U2),1,set,Aluminium heatsink set + 30 mm 5 V fan,Raspberry Pi 4 heatsink fan,3,8,AliExpress; Raspberry Pi resellers,"디바이스마트, 엘레파츠, 아이씨뱅큐",Pi 4 throttles in a closed case without cooling.,,,,
C2-B,budget-substitute,Camera cable 15-pin to 15-pin 300 mm (replaces C2),1,pc,"FPC 15-pin both ends, 300 mm",Raspberry Pi camera cable 15 pin 300mm,1,4,AliExpress; Raspberry Pi resellers,"디바이스마트, 엘레파츠, 아이씨뱅큐",Pi 4 uses the 15-pin connector.,,,,
S1-B,budget-substitute,VL53L1X ToF distance sensor module (replaces S1),1,pc,"ST VL53L1X, I2C 0x29 default, up to ~4 m in the dark, much less in sunlight",VL53L1X module,5,15,AliExpress; Pololu/SparkFun/Adafruit distributors; DigiKey,"디바이스마트, 엘레파츠, 아이씨뱅큐",NOT supported by firmware v1.0 (no driver yet; a future driver is on the roadmap). Needs an XSHUT GPIO per sensor. Short outdoor range.,,,,
S2-B,budget-substitute,VL53L1X ToF distance sensor module (replaces S2),1,pc,Same as S1-B,VL53L1X module,5,15,AliExpress; Pololu/SparkFun/Adafruit distributors; DigiKey,"디바이스마트, 엘레파츠, 아이씨뱅큐",NOT supported by firmware v1.0 (no driver yet; a future driver is on the roadmap). Needs an XSHUT GPIO per sensor. Short outdoor range.,,,,
A1-B,budget-substitute,No USB audio adapter (use Pi 4 3.5 mm jack) (replaces A1),1,pc,Pi 4 on-board 3.5 mm audio,—,0,0,—,—,Pi 4 on-board jack; the headset cable then runs to the main case instead of the aux pod.,,,,
